3,Healthy aging,2,2018-08-11 12:41:00,2018-08-11 12:41:00
4,Older Americans Month,2,2018-08-11 12:41:00,2018-08-11 12:41:00
7,Senior services,3,2018-08-11 12:41:00,2018-08-11 12:41:00
8,Adult day care,4,2018-08-11 12:41:00,2018-08-11 12:41:00
9,Aging in place,4,2018-08-11 12:41:00,2018-08-11 12:41:00
10,Geriatric care managers (ALC),4,2018-08-11 12:41:00,2018-08-11 12:41:00
11,Home care basics,4,2018-08-11 12:41:00,2018-08-11 12:41:00
13,Hospitalization,4,2018-08-11 12:41:00,2018-08-11 12:41:00
14,Hospitalization-avoiding,4,2018-08-11 12:41:00,2018-08-11 12:41:00
16,Senior living options,4,2018-08-11 12:41:00,2018-08-11 12:41:00
17,Senior living options-assisted living,4,2018-08-11 12:41:00,2018-08-11 12:41:00
18,Senior living options-SNF care,4,2018-08-11 12:41:00,2018-08-11 12:41:00
19,Caregivers-caring for,5,2018-08-11 12:41:00,2018-08-11 12:41:00
20,Caregivers-dementia,5,2018-08-11 12:41:00,2018-08-11 12:41:00
21,Caregivers-emotions,5,2018-08-11 12:41:00,2018-08-11 12:41:00
22,Caregivers--financial,5,2018-08-11 12:41:00,2018-08-11 12:41:00
23,Caregivers-long-distance,5,2018-08-11 12:41:00,2018-08-11 12:41:00
24,Caregivers-spouse,5,2018-08-11 12:41:00,2018-08-11 12:41:00
25,Caregivers-trends,5,2018-08-11 12:41:00,2018-08-11 12:41:00
26,Anxiety,6,2018-08-11 12:41:00,2018-08-11 12:41:00
27,Attitude,6,2018-08-11 12:41:00,2018-08-11 12:41:00
28,Depression,6,2018-08-11 12:41:00,2018-08-11 12:41:00
29,Grief,6,2018-08-11 12:41:00,2018-08-11 12:41:00
30,Loneliness,6,2018-08-11 12:41:00,2018-08-11 12:41:00
32,Meditation/Mindfulness,6,2018-08-11 12:41:00,2018-08-11 12:41:00
33,Positive thinking,6,2018-08-11 12:41:00,2018-08-11 12:41:00
34,Socialization,6,2018-08-11 12:41:00,2018-08-11 12:41:00
35,Spirituality ,6,2018-08-11 12:41:00,2018-08-11 12:41:00
36,Exercise,7,2018-08-11 12:41:00,2018-08-11 12:41:00
38,Exercise-balance activities ,7,2018-08-11 12:41:00,2018-08-11 12:41:00
39,Exercise-brain health,7,2018-08-11 12:41:00,2018-08-11 12:41:00
40,Exercise-sitting dangers,7,2018-08-11 12:41:00,2018-08-11 12:41:00
41,Exercise-walking,7,2018-08-11 12:41:00,2018-08-11 12:41:00
42,Tai Chi,7,2018-08-11 12:41:00,2018-08-11 12:41:00
47,Fraud,9,2018-08-11 12:41:00,2018-08-11 12:41:00
48,Senior workers,9,2018-08-11 12:41:00,2018-08-11 12:41:00
49,Senior workers-retirement,9,2018-08-11 12:41:00,2018-08-11 12:41:00
77,Immunization,10,2018-08-11 12:41:00,2018-08-11 12:41:00
80,Men's Health,10,2018-08-11 12:41:00,2018-08-11 12:41:00
81,"Obesity, healthy weight",10,2018-08-11 12:41:00,2018-08-11 12:41:00
82,Oral health,10,2018-08-11 12:41:00,2018-08-11 12:41:00
84,Sleep,10,2018-08-11 12:41:00,2018-08-11 12:41:00
85,Smoking,10,2018-08-11 12:41:00,2018-08-11 12:41:00
87,Women's Health,10,2018-08-11 12:41:00,2018-08-11 12:41:00
103,"Holidays-Better, visits",14,2018-08-11 12:41:00,2018-08-11 12:41:00
104,Holidays-Depression,14,2018-08-11 12:41:00,2018-08-11 12:41:00
105,Holidays-gifts,14,2018-08-11 12:41:00,2018-08-11 12:41:00
106,Holidays-Is Mom OK,14,2018-08-11 12:41:00,2018-08-11 12:41:00
107,Holidays-NY resolutions,14,2018-08-11 12:41:00,2018-08-11 12:41:00
108,Mother's Day when Mom has dementia ,14,2018-08-11 12:41:00,2018-08-11 12:41:00
109,Valentines Day,14,2018-08-11 12:41:00,2018-08-11 12:41:00
56,COPD,12,2018-08-11 12:41:00,2018-11-10 23:49:12.954707
72,Stroke,12,2018-08-11 12:41:00,2018-11-10 23:50:21.447288
93,Laughter,6,2018-08-11 12:41:00,2018-11-10 23:54:35.427687
31,Love and Intimacy/Alzheimer's,24,2018-08-11 12:41:00,2018-11-10 23:55:08.020499
88,"Dementia care, behaviors",24,2018-08-11 12:41:00,2018-11-10 23:55:49.73577
89,Dementia prevention,24,2018-08-11 12:41:00,2018-11-10 23:56:02.531993
90,Dementia stigma,24,2018-08-11 12:41:00,2018-11-10 23:56:13.816634
91,Dementia variations,24,2018-08-11 12:41:00,2018-11-10 23:56:34.434799
94,Memory Lapses,24,2018-08-11 12:41:00,2018-11-10 23:56:50.20409
95,Memory Loss-treatable conditions,24,2018-08-11 12:41:00,2018-11-10 23:57:05.708414
92,Hoarding,6,2018-08-11 12:41:00,2018-11-10 23:57:59.221241
96,Suicide,6,2018-08-11 12:41:00,2018-11-10 23:58:24.961876
74,"Heat, cold",18,2018-08-11 12:41:00,2018-11-11 00:01:19.752003
75,Hospital delirium,24,2018-08-11 12:41:00,2018-11-11 00:01:42.005402
76,"Hospital discharge, aftercare",4,2018-08-11 12:41:00,2018-11-11 00:02:18.098089
78,Infection control,18,2018-08-11 12:41:00,2018-11-11 00:03:25.48096
79,Medication Safety & management,18,2018-08-11 12:41:00,2018-11-11 00:03:40.186177
83,Rehabilitation,4,2018-08-11 12:41:00,2018-11-11 00:04:02.693568
86,Stress management,6,2018-08-11 12:41:00,2018-11-11 00:04:27.810854
73,Tickborne Diseases,12,2018-08-11 12:41:00,2018-11-11 00:06:01.5801
51,Alzheimer's diagnosis,24,2018-08-11 12:41:00,2018-11-11 00:08:20.794865
52,Alzheimer's preventable? ,24,2018-08-11 12:41:00,2018-11-11 00:08:49.249647
53,"Brain health, aging brain",24,2018-08-11 12:41:00,2018-11-11 00:09:08.863895
54,Brain injuries,24,2018-08-11 12:41:00,2018-11-11 00:09:38.317025
